Modèle,Méthode d'Optimisation,Temps (s),AUC Test,Famille
Régression Logistique,Random Search,8.44109845161438,0.8413753907360044,Déterministe (Linéaire)
Régression Logistique,Optuna (Bayésien),1.8786611557006836,0.8421452375416569,Déterministe (Linéaire)
Régression Logistique,Grid Search,0.6872100830078125,0.8413753907360044,Déterministe (Linéaire)
SGD Classifier,Random Search,0.4042854309082031,0.8410757188250794,Stochastique (Descente)
SGD Classifier,Optuna (Bayésien),2.0757296085357666,0.0,Stochastique (Descente)
SGD Classifier,Grid Search,0.46414923667907715,0.8410757188250794,Stochastique (Descente)
LightGBM,Random Search,14.228866815567017,0.8419915265183808,Stochastique (Arbres)
LightGBM,Optuna (Bayésien),10.055991172790527,0.8419915265183808,Stochastique (Arbres)
LightGBM,Grid Search,11.902059078216553,0.8463290190911675,Stochastique (Arbres)
Random Forest,Random Search,11.285807609558105,0.8396884445477796,Stochastique (Arbres)
Random Forest,Optuna (Bayésien),10.818511724472046,0.8396884445477796,Stochastique (Arbres)
XGBoost,Random Search,3.6670923233032227,0.8431772972693689,Stochastique (Arbres)
XGBoost,Optuna (Bayésien),4.498525619506836,0.8431772972693689,Stochastique (Arbres)
